CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Modalidade,UF,RegistroANS
00366982000130,CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO,03,2024,877677.84,Cooperativa MÃ©dica,GO,386596
12317012000123,ASSOCIAÇÃO DO FISCO DE ALAGOAS,03,2024,2262179.09,AutogestÃ£o,AL,393533
69099307000198,CROWN ODONTOLOGIA DE GRUPO LTDA,03,2024,845644.61,Odontologia de Grupo,SP,397245
53454617000143,SISTEMA TOTAL DE SAÚDE LTDA.,03,2024,18463.05,Medicina de Grupo,SP,402001
03273825000178,METLIFE PLANOS ODONTOLÓGICOS LTDA.,03,2024,62463404.81,Odontologia de Grupo,SP,406481
59766105000107,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,03,2024,21402.27,AutogestÃ£o,SP,406813
57272510000135,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,03,2024,147710.73,AutogestÃ£o,SP,406937
28023703000154,ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA,03,2024,566638.15,Medicina de Grupo,RJ,407534
24729097000136,SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI,03,2024,126247.84,Filantropia,MG,408522
42936518000181,UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA,03,2024,33349.79,Cooperativa MÃ©dica,MG,386901
02751464000165,ODONTOGROUP SISTEMA DE SAÚDE LTDA.,03,2024,106070.1,Odontologia de Grupo,DF,389854
02220135000198,ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO,03,2024,2336.45,AutogestÃ£o,GO,402206
72916364000127,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS,03,2024,7464.56,AutogestÃ£o,SP,407569
00444803000135,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE,03,2024,1047.17,AutogestÃ£o,SP,409413
67839969000121,AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,03,2024,18467837.74,Medicina de Grupo,SP,394734
68668045000172,AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,03,2024,107814.1,Medicina de Grupo,RJ,401081
83367342000171,ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,03,2024,893844.35,Filantropia,PA,406554
60499365000134,FUNDACAO LEONOR DE BARROS CAMARGO,03,2024,19636.27,Filantropia,SP,410292
70094578000130,COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA,03,2024,95396.18,AutogestÃ£o,PB,390259
03123146000112,BIO SAÚDE SERVIÇOS MÉDICOS LTDA,03,2024,12284077.28,Medicina de Grupo,SP,402966
00147571000153,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU,03,2024,699592.48,AutogestÃ£o,SP,406945
73565319000138,ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA,03,2024,1027.94,Medicina de Grupo,PR,409634
42892281000184,UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.,03,2024,2824427.21,Cooperativa MÃ©dica,MG,386588
00200720000109,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),03,2024,416348.68,AutogestÃ£o,SP,410608
34011288000111,ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO,03,2024,5640.83,AutogestÃ£o,RJ,387185
00773639000100,CENTRO CLÍNICO GAÚCHO LTDA,03,2024,523251.29,Medicina de Grupo,CE,392804
00665690000106,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA,03,2024,140465.36,AutogestÃ£o,SP,408026
02989632000155,EVANGELICO SAUDE LTDA.,03,2024,47290.28,Medicina de Grupo,PR,401480
03098226000165,SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA,03,2024,1495.0,Medicina de Grupo,PE,403962
71565659000133,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA,03,2024,278661.28,AutogestÃ£o,SP,406635
03424929000136,SAUDE PAS - MEDICINA E ODONTO,03,2024,1250907.41,AutogestÃ£o,RS,409243
04503249000170,ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM,03,2024,522923.33,AutogestÃ£o,AM,388092
03494031000134,COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS,03,2024,101121.0,Cooperativa odontolÃ³gica,MG,409791
48717516000188,UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO,03,2024,229205.29,Cooperativa MÃ©dica,SP,385620
02009924000184,GAMA SAUDE LTDA.,03,2024,439.62,Medicina de Grupo,SP,407011
66491036000123,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ,03,2024,227454.23,AutogestÃ£o,SP,408034
03613857000175,CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA,03,2024,38073.41,Medicina de Grupo,MG,410624
03268622000193,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.,03,2024,6442.57,Medicina de Grupo,RS,406805
37135365000133,ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.,03,2024,12735992.61,Medicina de Grupo,AL,395480
72350382000194,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA,03,2024,17981.5,AutogestÃ£o,RS,404241
68687722000108,G & M ASSESSORIA MEDICA EMPRESARIAL LTDA,03,2024,78676.84,Medicina de Grupo,RJ,409286
00034259000153,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA,03,2024,670434.78,AutogestÃ£o,SP,410110
66493339000185,ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU,03,2024,31084.35,AutogestÃ£o,SP,408093
00856424000152,CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.,03,2024,265047.45,Odontologia de Grupo,SP,389358
03219363000100,SEPACO SAÚDE LTDA,03,2024,1879195.03,Medicina de Grupo,SP,407224
01648339000161,VITA ASSISTÊNCIA A SAÚDE LTDA.,03,2024,3095985.19,Medicina de Grupo,MG,414905
04202013000102,POLICLIN SAÚDE S/A.,03,2024,79832.16,Medicina de Grupo,SP,415693
04311093000126,CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL,03,2024,763567.74,AutogestÃ£o,MS,413534
01747987000175,EXTRAMED ADMINISTRAÇÃO E SERVIÇOS MÉDICOS LTDA,03,2024,5920674.93,Administradora de BenefÃ­cios,PR,414204
06145428000109,PORTO DIAS SAUDE LTDA.,03,2024,61725.43,Medicina de Grupo,PA,415081
59762062000183,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS),03,2024,587745.54,AutogestÃ£o,SP,414212
04558034000157,LIFE EMPRESARIAL SAÚDE LTDA.,03,2024,630078.68,Medicina de Grupo,SP,414492
04222235000189,SEMPRE ODONTO PLANOS ODONTOLOGICOS LTDA,03,2024,35978.64,Odontologia de Grupo,RJ,414654
03638220000133,PLANO DE SAUDE ASES LTDA.,03,2024,54443.32,Medicina de Grupo,RJ,411582
03670297000190,MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA,03,2024,295706.94,Medicina de Grupo,RJ,412015
03773153000160,TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA,03,2024,5383803.63,Medicina de Grupo,BA,412759
04257073000114,AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA,03,2024,2632.0,Medicina de Grupo,RJ,413330
07844436000106,CABERJ INTEGRAL SAÚDE S.A,03,2024,950523.05,Medicina de Grupo,RJ,415774
03977587000181,SBC SAÚDE LTDA.,03,2024,88591.09,Medicina de Grupo,SP,412058
73967085000155,UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO,03,2024,113136380.57,Cooperativa MÃ©dica,MT,353663
00730439000170,UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO,03,2024,13598455.18,Cooperativa MÃ©dica,MG,353876
17774738000109,UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.,03,2024,121312863.79,Cooperativa MÃ©dica,MG,354066
85283299000191,UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE,03,2024,297693.74,Cooperativa MÃ©dica,SC,354295
02774736000142,OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA,03,2024,41510122.54,Medicina de Grupo,RJ,354511
01143922000110,UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO,03,2024,551216.23,Cooperativa MÃ©dica,MT,350346
51304798000104,UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA,03,2024,132271.02,Cooperativa odontolÃ³gica,SP,350494
89640452000141,UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,03,2024,310572.3,Cooperativa MÃ©dica,RS,350648
00950062000164,CENTRO HOSPITALAR ATIBAIA LTDA.,03,2024,2323594.95,Medicina de Grupo,SP,350699
02896924000143,POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA,03,2024,35181.78,Medicina de Grupo,PR,351270
45118429000116,UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO,03,2024,2711805.11,Cooperativa MÃ©dica,SP,351407
66191263000133,UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.,03,2024,469138.3,Cooperativa MÃ©dica,MG,352314
87096616000196,UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.,03,2024,48565061.86,Cooperativa MÃ©dica,RS,352501
07057185000110,UNIMED MARANHÃO DO SUL - COOPERATIVA DE TRABALHO MÉDICO,03,2024,47306059.18,Cooperativa MÃ©dica,MA,352543
40294225000112,UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO,03,2024,932018.85,Cooperativa MÃ©dica,RJ,352683
38499547000156,UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.,03,2024,3852414.22,Cooperativa MÃ©dica,MG,353060
82239476000144,UNIODONTO DE LONDRINA COOP. ODONTOLÓGICA,03,2024,832.76,Cooperativa odontolÃ³gica,PR,350770
