CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
415111,PENDENTE_ENRIQUECIMENTO,1T,2025,3463313.18
415243,PENDENTE_ENRIQUECIMENTO,1T,2025,770.39
415901,PENDENTE_ENRIQUECIMENTO,1T,2025,95926.54
412252,PENDENTE_ENRIQUECIMENTO,1T,2025,109559.04
412996,PENDENTE_ENRIQUECIMENTO,1T,2025,7689.41
413160,PENDENTE_ENRIQUECIMENTO,1T,2025,142927.33
413372,PENDENTE_ENRIQUECIMENTO,1T,2025,819498.92
413721,PENDENTE_ENRIQUECIMENTO,1T,2025,12605.36
414310,PENDENTE_ENRIQUECIMENTO,1T,2025,690.15
414573,PENDENTE_ENRIQUECIMENTO,1T,2025,73256.28
411256,PENDENTE_ENRIQUECIMENTO,1T,2025,13296905.42
411752,PENDENTE_ENRIQUECIMENTO,1T,2025,107374.84
413747,PENDENTE_ENRIQUECIMENTO,1T,2025,2319007.25
414352,PENDENTE_ENRIQUECIMENTO,1T,2025,12736.2
414689,PENDENTE_ENRIQUECIMENTO,1T,2025,5333.09
413283,PENDENTE_ENRIQUECIMENTO,1T,2025,4612335.76
413429,PENDENTE_ENRIQUECIMENTO,1T,2025,1569532.78
415626,PENDENTE_ENRIQUECIMENTO,1T,2025,107189.28
411809,PENDENTE_ENRIQUECIMENTO,1T,2025,666279.26
412295,PENDENTE_ENRIQUECIMENTO,1T,2025,45514.38
414026,PENDENTE_ENRIQUECIMENTO,1T,2025,9745.89
413267,PENDENTE_ENRIQUECIMENTO,1T,2025,6083.23
413518,PENDENTE_ENRIQUECIMENTO,1T,2025,143593.83
414581,PENDENTE_ENRIQUECIMENTO,1T,2025,388879.76
414701,PENDENTE_ENRIQUECIMENTO,1T,2025,313839.19
411868,PENDENTE_ENRIQUECIMENTO,1T,2025,14785.47
414387,PENDENTE_ENRIQUECIMENTO,1T,2025,2599.95
412635,PENDENTE_ENRIQUECIMENTO,1T,2025,166665.39
415065,PENDENTE_ENRIQUECIMENTO,1T,2025,19883.78
408263,PENDENTE_ENRIQUECIMENTO,1T,2025,181.96
408794,PENDENTE_ENRIQUECIMENTO,1T,2025,8846476.87
409405,PENDENTE_ENRIQUECIMENTO,1T,2025,390935.65
410128,PENDENTE_ENRIQUECIMENTO,1T,2025,520929.07
410888,PENDENTE_ENRIQUECIMENTO,1T,2025,83049.87
411248,PENDENTE_ENRIQUECIMENTO,1T,2025,104673.43
385697,PENDENTE_ENRIQUECIMENTO,1T,2025,51014.18
