CNPJ,RazaoSocial,UF,Total_Despesas,Media_Trimestral,Desvio_Padrao
45050963000138,BEMSTAR ASSISTENCIA MEDICA LTDA,BA,116072.12,29018.03,19548.10273295595
27113113000150,S1 OPERADORA DE PLANO DE SAÚDE LTDA,DF,115551.6,28887.9,33118.71592204021
03044492000105,HOSPITAL S.P. LTDA.,RS,113824.24,28456.06,45513.770722224275
80871551000160,UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS,PR,113281.65,28320.4125,29382.486692368726
46426569000114,UNITY SERVIÇOS INTEGRADOS DE SAÚDE LTDA.,DF,111373.42,27843.355,49878.41974471424
00826676000139,UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA,SP,110493.07999999999,36831.026666666665,30583.74486967437
40960189000189,UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO,PB,108378.53,27094.6325,9894.462384251017
10364053000145,ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,SP,106147.45,26536.8625,5263.920306434327
10846369000173,HEALTH ADMINISTRADORA DE BENEFICIOS LTDA,SP,105336.90999999999,26334.227499999997,8067.027490112143
93507895000136,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,RS,103821.16,25955.29,509.3226132816011
31763326000102,EXCELÊNCIA PLANO DE SAÚDE S/A,ES,101147.99,25286.9975,29130.51891257389
49168700000189,PRO-SAUDE JARINU ASSISTENCIA MEDICA SUPLEMENTAR LTDA.,SP,97861.2,24465.3,36146.134557601035
49754083000101,EVO SAUDE ASSISTENCIA MEDICA LTDA,DF,96762.08,24190.52,34079.87771079977
07611953000135,BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.,RJ,95024.06,23756.015,13171.967450130598
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,GO,92829.9,23207.475,15383.65
72916364000127,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS,SP,91367.58,22841.895,21343.18862927702
40208487000117,VIVER BEM ADMINISTRADORA DE BENEFÍCIOS LTDA,RJ,91008.06,22752.015,7940.6749939850815
13785956000198,RAMED ADMINISTRADORA DE BENEFICIOS LTDA.,SP,85839.97,21459.9925,10885.165759498488
56307500000125,AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA,RJ,84998.7,21249.675,6677.6747685827495
72350382000194,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA,RS,74026.45,18506.6125,1168.3521062697653
52852100000140,IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO,SP,72036.14,18009.035,30789.04345049767
24449225000198,UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO,PE,70436.38,17609.095,8402.286326651416
37256591000172,UNIODONTO DO SUL GOIANO COOPERATIVA ODONTOLOGICA,GO,68949.37,17237.3425,1164.6851560936966
25141173000150,ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE,SP,63127.509999999995,15781.877499999999,7689.789346617912
13170410000122,ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC,SE,62679.380000000005,15669.845000000001,7778.405252070204
58434577000191,ELITE SAUDE SERVICOS MEDICOS LTDA.,SP,62405.46,20801.82,35858.3360999531
55189930000127,IRMANDADE DE MISERICORDIA DE PORTO FERREIRA,SP,60730.28,15182.57,4837.498238869619
19512026000147,PLAMESC PLANOS DE SAÚDE LTDA,RJ,57400.47,14350.1175,2849.4897634181807
24807514000111,ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI,SP,54288.030000000006,13572.007500000002,17151.80679454962
37354048000108,YOU ASSISTÊNCIA MÉDICA LTDA.,MG,54110.02,27055.01,0.0
02919940000104,NOVODENTE S/A,RS,51988.94,25994.47,0.0
23557177000199,ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO,SP,45133.69,11283.4225,14469.576569495448
27323544000140,QUALI ADMINISTRADORA DE BENEFÍCIOS S/A,ES,42406.92,21203.46,0.0
59452478000103,SAUDE SALV ASSISTENCIA MEDICA LTDA,RO,36711.11,12237.036666666667,6385.782652371857
54557861000102,BLUZZ SAÚDE S/A,ES,35158.97,8789.7425,9825.56371161599
05455431000166,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,CE,33409.380000000005,8352.345000000001,170.8914159147065
03268622000193,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.,RS,28433.1,7108.275,2426.9095808112293
05983170000157,PLANO ODONTOLÓGICO DENTALVIDAS LTDA.,SP,25095.739999999998,6273.9349999999995,5608.631400288309
02580965000126,UNIODONTO ESPIRITO SANTO COOPERATIVA ODONTOLOGICA,ES,24697.31,6174.3275,1593.4005231657857
04839091000104,FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC,CE,18888.190000000002,4722.047500000001,1454.8121371589527
58418932000139,INTEGRA ADMINISTRADORA DE BENEFICIOS LTDA,GO,17107.98,5702.66,0.0
97403778000183,SOCIODONTO PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,MG,8558.64,2852.8799999999997,925.1576183548401
42785902000120,INFINITY SAÚDE SUPLEMENTAR LTDA,MT,6492.349999999999,1623.0874999999999,2504.878964918598
42209475000132,TOTAL SAUDE  ADMINISTRADORA DE BENEFICIOS EIRELI,ES,6420.0,1605.0,1732.0508075688772
02254846000183,COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ,AP,3398.91,849.7275,741.708080868073
40037284000105,SAUDE INTEGRAL ASSISTENCIA MEDICA LTDA,BA,2720.0,680.0,0.0
52041306000190,PLAMEDH PLANOS DE SAÚDE LTDA,MG,2678.19,892.73,137.29966751598488
82239476000144,UNIODONTO DE LONDRINA COOP. ODONTOLÓGICA,PR,2581.13,645.2825,242.98491041969388
58554194000157,UNIC ASSISTENCIA MEDICA LTDA,SP,2500.0,1250.0,0.0
07154253000169,RODRIGUES LEIRA ODONTOLOGIA LTDA.,SP,2279.5699999999997,569.8924999999999,255.94898871650184
52174905000181,FOX SAÚDE ASSISTÊNCIA MÉDICA INTEGRADA LTDA,PE,1454.11,484.7033333333333,187.70811951893117
60967570000187,ESPERANÇA OPERADORA DE PLANOS DE SAÚDE LTDA,RJ,372.24,186.12,0.0
60398077000193,UNIÃO HOSPITAIS DE PERNAMBUCO LTDA,PE,316.26,158.13,0.0
62271160000122,SAUDE FACIL PLANOS DE SAUDE LTDA,RJ,242.82,121.41,0.0
59545401000170,NOVAMED PLANOS DE SAUDE LTDA,GO,150.7,75.35,0.0
53654432000182,INTEGRALCARE PLANOS DE SAUDE LTDA,BA,7.0,1.75,0.9574271077563381
53654434000171,MEDICAL LIFE PLANOS DE SAÚDE LTDA,BA,7.0,2.3333333333333335,0.5773502691896258
50991788000113,VITACARE PLANOS DE SAUDE LTDA,BA,6.0,1.5,0.5773502691896257
57303461000150,MAXIMED PLANOS DE SAUDE LTDA,RJ,2.0,1.0,0.0
